date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-10-31,16.05,17.0,14.75,14.98,14.98,3031000.0,0.0,1.0
2018-11-01,14.9,14.9,13.07,14.5,14.5,445700.0,0.0,1.0
2018-11-02,14.95,15.88,14.67,15.07,15.07,641100.0,0.0,1.0
2018-11-05,15.15,15.75,14.75,14.75,14.75,266000.0,0.0,1.0
2018-11-06,14.85,15.35,14.75,14.9,14.9,272300.0,0.0,1.0
2018-11-07,15.0,15.75,14.85,15.63,15.63,869700.0,0.0,1.0
2018-11-08,15.51,15.51,14.8,15.0,15.0,177900.0,0.0,1.0
2018-11-09,15.03,15.14,14.55,14.84,14.84,315300.0,0.0,1.0
2018-11-12,14.85,15.22,14.85,15.01,15.01,79100.0,0.0,1.0
2018-11-13,15.15,15.59,14.52,15.5,15.5,167800.0,0.0,1.0
2018-11-14,15.56,15.58,14.98,15.14,15.14,81800.0,0.0,1.0
2018-11-15,15.2,15.49,14.59,15.15,15.15,279000.0,0.0,1.0
2018-11-16,15.1,15.5,14.93,15.05,15.05,135700.0,0.0,1.0
2018-11-19,15.05,15.25,14.8,15.2,15.2,46500.0,0.0,1.0
2018-11-20,15.15,15.15,13.5,14.0,14.0,81300.0,0.0,1.0
2018-11-21,14.22,14.85,14.1,14.73,14.73,19100.0,0.0,1.0
2018-11-23,14.87,14.92,14.13,14.92,14.92,16500.0,0.0,1.0
2018-11-26,15.24,15.39,14.35,14.99,14.99,186500.0,0.0,1.0
2018-11-27,15.14,15.25,14.51,14.82,14.82,44700.0,0.0,1.0
2018-11-28,14.77,14.77,13.95,14.09,14.09,113400.0,0.0,1.0
2018-11-29,14.13,14.24,13.11,13.4,13.4,199600.0,0.0,1.0
2018-11-30,13.38,13.72,11.95,13.2,13.2,143100.0,0.0,1.0
2018-12-03,13.23,14.08,13.1,14.01,14.01,247600.0,0.0,1.0
2018-12-04,13.87,14.52,13.24,14.34,14.34,200500.0,0.0,1.0
2018-12-06,14.26,14.99,13.94,14.8,14.8,218600.0,0.0,1.0
