date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-03-19,40.0,40.0,40.0,40.0,40.0,150.0,0.0,1.0
2019-03-20,8.11,11.29,8.07,10.92,10.92,21973500.0,0.0,1.0
2019-03-21,10.85,11.27,10.12,10.45,10.45,7800800.0,0.0,1.0
2019-03-22,10.24,11.37,10.11,10.82,10.82,4108200.0,0.0,1.0
2019-03-25,10.6,11.88,10.4,11.3,11.3,3990900.0,0.0,1.0
2019-03-26,11.38,12.68,11.38,12.05,12.05,5739600.0,0.0,1.0
2019-03-27,12.32,13.085,12.08,12.87,12.87,3482000.0,0.0,1.0
2019-03-28,13.06,13.41,12.12,12.26,12.26,2085300.0,0.0,1.0
2019-03-29,12.5,13.13,12.21,12.94,12.94,4340100.0,0.0,1.0
2019-04-01,13.34,14.2,12.8,14.0,14.0,5325500.0,0.0,1.0
2019-04-02,13.85,15.34,13.7,14.92,14.92,2332900.0,0.0,1.0
2019-04-03,15.02,16.6,14.56,15.34,15.34,3726900.0,0.0,1.0
2019-04-04,15.53,15.93,14.95,15.39,15.39,3734800.0,0.0,1.0
2019-04-05,15.31,15.69,14.82,15.3,15.3,1617100.0,0.0,1.0
2019-04-08,15.15,15.27,14.6,14.89,14.89,1261100.0,0.0,1.0
2019-04-09,14.7,15.16,14.25,14.75,14.75,1975900.0,0.0,1.0
2019-04-10,14.71,15.61,14.67,15.21,15.21,3277000.0,0.0,1.0
2019-04-11,15.2,17.09,15.2,17.0,17.0,2081900.0,0.0,1.0
2019-04-12,17.13,17.8,17.05,17.61,17.61,1791800.0,0.0,1.0
2019-04-15,17.44,19.38,17.1,19.21,19.21,2710500.0,0.0,1.0
2019-04-16,19.49,23.89,19.073,22.0,22.0,6889300.0,0.0,1.0
2019-04-17,22.5,22.698,15.55,15.93,15.93,7531900.0,0.0,1.0
2019-04-18,16.49,16.96,15.351,15.52,15.52,4988500.0,0.0,1.0
2019-04-22,15.4,16.28,14.25,14.5,14.5,4634100.0,0.0,1.0
2019-04-23,14.56,15.48,14.49,15.41,15.41,1129300.0,0.0,1.0
2019-04-24,15.38,15.38,14.8,14.93,14.93,424800.0,0.0,1.0
2019-04-25,14.78,14.9,14.4,14.63,14.63,816500.0,0.0,1.0
2019-04-26,14.53,17.45,14.39,16.76,16.76,6530900.0,0.0,1.0
2019-04-29,17.0,17.42,15.37,15.62,15.62,4422200.0,0.0,1.0
2019-04-30,15.56,15.67,13.58,13.64,13.64,5823600.0,0.0,1.0
2019-05-01,13.75,14.319,13.41,13.5,13.5,1016800.0,0.0,1.0
2019-05-02,13.66,13.94,12.95,13.16,13.16,831500.0,0.0,1.0
2019-05-03,13.32,13.63,12.56,13.26,13.26,1124700.0,0.0,1.0
2019-05-06,12.29,12.95,12.202,12.61,12.61,2903800.0,0.0,1.0
2019-05-07,12.6,12.94,10.7,10.92,10.92,6492100.0,0.0,1.0
2019-05-08,11.2,11.38,10.55,10.73,10.73,3211200.0,0.0,1.0
2019-05-09,10.35,10.56,8.98,9.01,9.01,5015300.0,0.0,1.0
2019-05-10,9.45,9.45,7.52,8.29,8.29,5236200.0,0.0,1.0
2019-05-13,7.95,8.49,7.77,7.79,7.79,4242000.0,0.0,1.0
2019-05-14,8.01,8.15,7.44,7.7,7.7,4444000.0,0.0,1.0
2019-05-15,7.72,8.5,7.48,8.25,8.25,5910800.0,0.0,1.0
2019-05-16,8.42,8.45,6.91,6.98,6.98,8181400.0,0.0,1.0
2019-05-17,6.57,6.95,5.51,5.77,5.77,10111600.0,0.0,1.0
2019-05-20,5.6,6.08,5.38,5.63,5.63,2517000.0,0.0,1.0
2019-05-21,5.99,6.33,5.81,6.25,6.25,3473700.0,0.0,1.0
2019-05-22,6.24,6.24,5.7,5.76,5.76,1790800.0,0.0,1.0
2019-05-23,5.59,5.763,5.38,5.4,5.4,1520100.0,0.0,1.0
2019-05-24,5.6,5.63,5.19,5.29,5.29,1185700.0,0.0,1.0
2019-05-28,5.35,5.53,5.08,5.36,5.36,1700300.0,0.0,1.0
2019-05-29,5.25,5.34,5.05,5.19,5.19,962300.0,0.0,1.0
2019-05-30,5.16,5.34,5.08,5.15,5.15,1193200.0,0.0,1.0
2019-05-31,5.05,5.09,4.72,4.72,4.72,1299700.0,0.0,1.0
2019-06-03,4.7,4.7,4.14,4.49,4.49,1905800.0,0.0,1.0
2019-06-04,4.65,4.89,4.55,4.86,4.86,1272300.0,0.0,1.0
2019-06-05,4.92,4.943,4.39,4.45,4.45,1087900.0,0.0,1.0
2019-06-06,4.44,4.5,4.193,4.26,4.26,679200.0,0.0,1.0
2019-06-07,4.23,4.466,4.168,4.32,4.32,623300.0,0.0,1.0
2019-06-10,4.4,4.47,4.3,4.37,4.37,511200.0,0.0,1.0
