date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-05-17,25.02,25.96,18.81,20.38,20.38,38937500.0,0.0,1.0
2019-05-20,21.02,21.02,18.4,18.61,18.61,8186600.0,0.0,1.0
2019-05-21,18.59,18.74,17.33,17.33,17.33,8572300.0,0.0,1.0
2019-05-22,17.0,17.33,14.7,14.75,14.75,19697300.0,0.0,1.0
2019-05-23,14.47,15.95,13.71,15.79,15.79,9626500.0,0.0,1.0
2019-05-24,15.44,15.7,14.77,15.32,15.32,4829800.0,0.0,1.0
2019-05-28,15.38,16.32,15.28,16.11,16.11,4576400.0,0.0,1.0
2019-05-29,16.0,17.78,15.99,17.25,17.25,7583500.0,0.0,1.0
2019-05-30,17.61,18.75,17.445,18.5,18.5,8872800.0,0.0,1.0
2019-05-31,18.4,20.39,17.75,20.1,20.1,7524000.0,0.0,1.0
2019-06-03,21.5,22.3,20.1,20.63,20.63,10498900.0,0.0,1.0
2019-06-04,21.0,21.07,19.06,19.79,19.79,5814000.0,0.0,1.0
2019-06-05,19.93,20.16,17.81,18.65,18.65,5083600.0,0.0,1.0
2019-06-06,18.02,18.19,17.13,17.68,17.68,3971500.0,0.0,1.0
2019-06-07,18.0,19.03,17.81,18.99,18.99,4788700.0,0.0,1.0
2019-06-10,19.2,19.29,18.32,18.45,18.45,3572700.0,0.0,1.0
2019-06-11,18.75,18.76,17.25,17.6,17.6,4116100.0,0.0,1.0
2019-06-12,17.93,18.65,17.6,18.19,18.19,3328500.0,0.0,1.0
2019-06-13,18.53,18.839,17.67,17.96,17.96,2320200.0,0.0,1.0
2019-06-14,17.96,19.45,17.8,19.23,19.23,3669600.0,0.0,1.0
2019-06-17,19.68,21.29,19.64,21.17,21.17,7960700.0,0.0,1.0
2019-06-18,21.76,21.8,20.3,20.7,20.7,4553700.0,0.0,1.0
2019-06-19,21.08,21.08,19.6,19.94,19.94,3524700.0,0.0,1.0
2019-06-20,20.08,20.78,19.734,19.79,19.79,3656500.0,0.0,1.0
2019-06-21,19.88,19.88,19.0,19.13,19.13,3261500.0,0.0,1.0
2019-06-24,19.16,19.44,18.0,18.19,18.19,4054100.0,0.0,1.0
2019-06-25,18.06,18.79,17.905,18.05,18.05,2780500.0,0.0,1.0
2019-06-26,18.15,18.385,17.8,18.05,18.05,2117900.0,0.0,1.0
2019-06-27,18.07,18.63,18.07,18.4,18.4,2158400.0,0.0,1.0
2019-06-28,18.5,19.95,18.45,19.49,19.49,5223500.0,0.0,1.0
2019-07-01,20.0,20.14,18.91,19.14,19.14,3546400.0,0.0,1.0
2019-07-02,19.09,19.18,18.64,18.78,18.78,1369800.0,0.0,1.0
2019-07-03,18.73,19.415,18.73,19.33,19.33,993000.0,0.0,1.0
2019-07-05,19.45,19.62,19.04,19.59,19.59,1429500.0,0.0,1.0
2019-07-08,19.4,19.59,19.02,19.13,19.13,1430900.0,0.0,1.0
2019-07-09,19.37,19.39,18.85,18.93,18.93,1386000.0,0.0,1.0
2019-07-10,18.96,19.18,18.85,18.94,18.94,892600.0,0.0,1.0
2019-07-11,19.08,19.707,19.0,19.49,19.49,2260800.0,0.0,1.0
2019-07-12,19.69,20.2,19.21,19.41,19.41,3041500.0,0.0,1.0
2019-07-15,19.52,21.0,19.33,20.99,20.99,4509900.0,0.0,1.0
2019-07-16,20.7,21.19,20.0,20.12,20.12,3682100.0,0.0,1.0
2019-07-17,20.3,20.48,19.5,19.51,19.51,1777600.0,0.0,1.0
2019-07-18,19.55,20.15,19.52,19.95,19.95,1388400.0,0.0,1.0
2019-07-19,20.22,20.44,19.86,20.05,20.05,1503900.0,0.0,1.0
2019-07-22,20.5,21.75,20.07,21.62,21.62,5613300.0,0.0,1.0
2019-07-23,21.5,23.48,21.19,23.4,23.4,9406200.0,0.0,1.0
2019-07-24,23.0,23.32,22.57,23.12,23.12,3173400.0,0.0,1.0
2019-07-25,23.2,24.44,22.58,23.0,23.0,5858900.0,0.0,1.0
2019-07-26,23.81,25.12,23.25,24.92,24.92,5002600.0,0.0,1.0
2019-07-29,25.3,27.12,25.01,26.58,26.58,8802700.0,0.0,1.0
2019-07-30,26.96,26.97,24.36,24.47,24.47,8706200.0,0.0,1.0
2019-07-31,24.83,25.3,22.6,24.29,24.29,5462900.0,0.0,1.0
2019-08-01,24.59,26.329,23.05,23.67,23.67,7897600.0,0.0,1.0
2019-08-02,23.57,25.09,23.517,24.91,24.91,4514900.0,0.0,1.0
2019-08-05,23.97,24.39,22.73,22.75,22.75,4620900.0,0.0,1.0
2019-08-06,23.61,23.75,22.46,22.91,22.91,3063000.0,0.0,1.0
2019-08-07,22.75,23.21,21.8,23.11,23.11,3325900.0,0.0,1.0
2019-08-08,23.75,24.73,23.44,24.11,24.11,3323600.0,0.0,1.0
2019-08-09,24.0,26.38,23.93,25.94,25.94,4342834.0,0.0,1.0
